CASO,R,G,B,CLASE
566,186,204,216,1
567,186,204,216,1
568,186,204,216,1
569,186,204,216,1
570,186,204,216,1
571,186,204,216,1
572,186,204,216,1
573,187,203,216,1
574,190,204,217,1
575,191,203,217,1
576,191,203,217,1
577,190,202,216,1
578,189,201,215,1
579,189,201,215,1
580,188,202,215,1
581,187,201,214,1
582,188,202,215,1
583,187,201,214,1
584,184,200,213,1
585,183,199,212,1
586,182,198,211,1
587,180,196,209,1
588,179,195,208,1
589,179,195,208,1
590,177,193,206,1
591,175,193,205,1
592,172,189,205,1
593,169,186,202,1
594,168,185,203,1
595,168,185,203,1
596,169,185,208,1
597,169,187,209,1
598,166,184,206,1
599,166,184,206,1
600,165,183,205,1
601,161,182,203,1
602,160,181,200,1
603,160,181,200,1
604,159,180,197,1
605,159,180,197,1
606,158,179,198,1
607,158,179,198,1
608,158,179,198,1
609,158,179,198,1
610,158,179,198,1
611,158,179,198,1
612,158,179,200,1
613,158,179,200,1
614,155,176,197,1
615,155,176,197,1
616,154,174,198,1
617,154,174,198,1
618,153,173,197,1
619,153,173,197,1
620,152,172,196,1
621,151,173,196,1
622,149,173,197,1
623,148,174,197,1
624,149,175,198,1
625,151,177,200,1
626,153,177,201,1
627,155,179,203,1
628,156,180,204,1
629,156,180,204,1
630,160,182,206,1
631,159,181,205,1
632,159,179,204,1
633,158,178,203,1
634,3,3,3,1
635,5,5,5,1
636,3,3,3,1
637,11,11,11,1
638,2,2,2,1
639,29,29,29,1
640,219,219,219,1
641,1,1,1,1
642,1,1,1,1
643,1,1,1,1
644,1,1,1,1
645,1,1,1,1
646,1,1,1,1
647,1,1,1,1
648,231,233,222,1
649,222,224,213,1
650,228,230,219,1
651,227,228,220,1
652,195,196,188,1
653,14,15,9,1
654,228,229,224,1
655,17,17,15,1
656,20,20,20,1
657,214,215,210,1
658,235,235,233,1
659,3,3,1,1
660,9,9,9,1
661,211,211,211,1
662,226,226,224,1
663,225,226,221,1
664,240,241,235,1
665,220,222,211,1
666,210,212,199,1
667,211,213,199,1
668,216,219,202,1
669,221,223,209,1
670,210,212,207,1
671,218,220,215,1
672,216,218,213,1
673,226,228,223,1
674,214,216,211,1
675,252,254,249,1
676,219,221,218,1
677,237,239,236,1
678,231,233,230,1
679,209,211,208,1
680,246,248,245,1
681,230,232,229,1
682,218,220,217,1
683,244,249,245,1
684,226,230,229,1
685,224,230,228,1
686,220,229,228,1
687,217,226,225,1
688,216,224,227,1
689,216,224,227,1
690,216,223,231,1
691,216,223,231,1
692,213,222,231,1
693,212,221,230,1
694,210,219,228,1
695,209,218,227,1
696,208,218,227,1
697,209,220,226,1
698,210,220,229,1
699,210,220,229,1
700,211,220,229,1
701,211,220,229,1
702,211,220,229,1
703,211,220,227,1
704,211,220,227,1
705,211,220,227,1
706,211,220,225,1
707,211,220,225,1
708,212,222,224,1
709,213,223,225,1
710,213,223,224,1
711,213,223,224,1
712,214,224,225,1
713,215,225,226,1
714,215,225,226,1
715,215,225,226,1
716,219,224,228,1
717,218,223,227,1
718,219,222,227,1
719,218,221,226,1
720,220,221,226,1
721,221,222,227,1
722,222,221,227,1
723,223,222,228,1
724,224,223,229,1
725,222,221,227,1
726,222,223,228,1
727,226,227,232,1
728,224,227,232,1
729,222,225,230,1
730,221,226,230,1
731,223,228,232,1
732,223,226,231,1
733,223,226,231,1
734,223,226,231,1
735,223,226,231,1
736,223,226,231,1
737,223,226,231,1
738,223,226,231,1
739,223,226,231,1
740,223,226,231,1
741,223,226,231,1
742,223,226,231,1
743,223,226,231,1
744,223,226,231,1
745,223,226,231,1
746,223,226,231,1
747,223,226,231,1
748,224,227,234,1
749,224,227,234,1
750,224,227,234,1
751,224,227,234,1
752,224,227,234,1
753,224,227,234,1
754,224,227,234,1
755,224,227,234,1
756,222,225,232,1
757,222,225,232,1
758,221,224,231,1
759,221,224,231,1
760,220,223,230,1
761,220,223,230,1
762,219,222,229,1
763,218,223,229,1
764,216,220,229,1
765,214,221,229,1
766,213,220,228,1
767,213,220,228,1
768,212,219,227,1
769,212,219,227,1
770,211,218,226,1
771,211,218,226,1
772,212,219,227,1
773,211,218,226,1
774,211,218,226,1
775,210,217,225,1
776,210,217,225,1
777,211,218,226,1
778,211,218,226,1
779,212,219,227,1
780,210,219,228,1
781,210,219,228,1
782,210,219,228,1
783,210,219,228,1
784,210,219,228,1
785,210,219,228,1
786,210,219,228,1
787,210,219,228,1
788,210,219,228,1
789,210,219,228,1
790,210,219,228,1
791,210,219,228,1
792,210,219,228,1
793,210,219,228,1
794,210,219,228,1
795,210,219,228,1
796,211,218,228,1
797,211,218,228,1
798,211,218,228,1
799,212,219,229,1
800,212,219,229,1
801,213,220,230,1
802,213,220,230,1
803,213,220,230,1
804,210,217,227,1
805,210,217,227,1
806,210,217,227,1
807,209,216,226,1
808,209,216,226,1
809,208,215,225,1
810,208,215,225,1
811,208,215,225,1
812,206,215,224,1
813,205,214,223,1
814,205,214,223,1
815,205,214,223,1
816,205,214,223,1
817,204,213,222,1
818,204,213,222,1
819,204,213,222,1
820,203,212,221,1
821,203,212,221,1
822,203,212,221,1
823,203,212,221,1
824,203,212,221,1
825,203,212,221,1
826,203,212,221,1
827,203,212,221,1
828,203,211,222,1
829,203,211,222,1
830,203,211,222,1
831,202,210,221,1
832,202,210,221,1
833,202,210,221,1
834,202,210,221,1
835,202,210,221,1
836,202,210,221,1
837,202,210,221,1
838,203,211,222,1
839,203,211,222,1
840,203,211,222,1
841,203,211,222,1
842,204,212,223,1
843,204,212,223,1
844,201,211,223,1
845,200,210,222,1
846,199,209,221,1
847,198,208,220,1
848,197,207,219,1
849,196,206,218,1
850,195,205,217,1
851,195,205,217,1
852,193,203,215,1
853,193,203,215,1
854,192,202,214,1
855,191,201,213,1
856,190,200,212,1
857,190,200,212,1
858,189,199,211,1
859,189,199,211,1
860,186,198,212,1
861,185,197,211,1
